coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-1.41,0,0.04,-1.5,-1.44,-1.41,-1.38,-1.33,1
phi,59.16,0.17,10.73,41.75,51.92,57.73,65.08,84.22,1
gamma_PVI,0.51,0,0.17,0.18,0.4,0.51,0.62,0.84,1
gamma_RPI,-0.2,0,0.16,-0.49,-0.3,-0.2,-0.09,0.11,1
gamma_aridity,-0.67,0,0.15,-0.98,-0.77,-0.67,-0.57,-0.37,1
gamma_surface.water,-0.17,0,0.15,-0.45,-0.27,-0.17,-0.07,0.13,1
beta_PVI,0.34,0,0.08,0.19,0.29,0.34,0.39,0.49,1
beta_RPI,0,0,0.06,-0.13,-0.04,0,0.05,0.13,1
beta_log.pop,0.24,0,0.07,0.1,0.19,0.23,0.28,0.37,1
beta_pop.growth,0.32,0,0.08,0.15,0.27,0.32,0.38,0.49,1
beta_aridity,-0.18,0,0.13,-0.43,-0.26,-0.18,-0.09,0.07,1
beta_surface.water,-0.06,0,0.05,-0.15,-0.09,-0.06,-0.03,0.03,1
delta_AL,0.04,0.01,0.29,-0.58,-0.14,0.06,0.24,0.56,1
delta_AR,0.06,0,0.24,-0.41,-0.09,0.06,0.22,0.54,1
delta_AZ,-0.16,0,0.21,-0.57,-0.3,-0.16,-0.03,0.25,1
delta_CA,0.43,0,0.15,0.14,0.33,0.43,0.53,0.73,1
delta_CO,0.17,0,0.18,-0.19,0.04,0.17,0.29,0.52,1
delta_CT,0.17,0,0.22,-0.27,0.02,0.17,0.32,0.63,1
delta_DC,-0.23,0,0.28,-0.78,-0.41,-0.22,-0.04,0.28,1
delta_FL,0.49,0,0.13,0.23,0.41,0.49,0.58,0.76,1
delta_GA,0.31,0,0.18,-0.04,0.19,0.31,0.43,0.65,1
delta_IA,-0.31,0,0.21,-0.74,-0.45,-0.3,-0.16,0.09,1
delta_ID,-0.28,0,0.26,-0.81,-0.44,-0.27,-0.1,0.21,1
delta_IL,-0.15,0,0.19,-0.55,-0.27,-0.15,-0.03,0.2,1
delta_IN,-0.05,0,0.2,-0.46,-0.18,-0.04,0.08,0.33,1
delta_KS,0.12,0,0.25,-0.36,-0.05,0.12,0.28,0.6,1
delta_KY,0.14,0,0.24,-0.33,-0.02,0.14,0.29,0.59,1
delta_LA,-0.37,0,0.22,-0.81,-0.51,-0.36,-0.22,0.03,1
delta_MA,0.26,0,0.21,-0.17,0.12,0.26,0.41,0.69,1
delta_MD,-0.07,0,0.21,-0.49,-0.21,-0.07,0.08,0.33,1
delta_ME,-0.15,0,0.28,-0.71,-0.33,-0.15,0.03,0.36,1
delta_MI,-0.62,0,0.21,-1.06,-0.75,-0.61,-0.48,-0.23,1
delta_MN,-0.37,0,0.23,-0.86,-0.52,-0.36,-0.21,0.06,1
delta_MO,-0.06,0,0.2,-0.48,-0.19,-0.05,0.08,0.33,1
delta_MS,-0.32,0,0.26,-0.88,-0.48,-0.31,-0.14,0.17,1
delta_NC,0.27,0,0.15,-0.03,0.17,0.27,0.37,0.56,1
delta_ND,-0.13,0,0.28,-0.69,-0.32,-0.13,0.06,0.41,1
delta_NE,-0.12,0,0.23,-0.59,-0.28,-0.11,0.03,0.32,1
delta_NH,0.14,0,0.27,-0.38,-0.03,0.14,0.32,0.67,1
delta_NJ,0.11,0,0.23,-0.35,-0.04,0.11,0.26,0.54,1
delta_NM,0.32,0,0.26,-0.17,0.14,0.3,0.49,0.86,1
delta_NV,-0.04,0,0.22,-0.48,-0.19,-0.03,0.11,0.4,1
delta_NY,0.19,0,0.17,-0.14,0.08,0.2,0.31,0.52,1
delta_OH,0.06,0,0.15,-0.24,-0.04,0.06,0.16,0.35,1
delta_OK,-0.02,0,0.24,-0.48,-0.17,-0.02,0.13,0.43,1
delta_OR,-0.13,0,0.21,-0.55,-0.27,-0.12,0.02,0.27,1
delta_PA,0.05,0,0.15,-0.25,-0.05,0.05,0.15,0.34,1
delta_RI,0.11,0,0.26,-0.41,-0.06,0.11,0.28,0.63,1
delta_SC,-0.07,0,0.19,-0.45,-0.19,-0.07,0.05,0.3,1
delta_SD,0.15,0,0.26,-0.34,-0.03,0.16,0.32,0.68,1
delta_TN,-0.01,0,0.19,-0.38,-0.13,-0.01,0.12,0.37,1
delta_TX,0.1,0,0.13,-0.16,0.01,0.1,0.19,0.36,1
delta_UT,0.16,0,0.22,-0.27,0.01,0.16,0.31,0.6,1
delta_VA,0.2,0,0.18,-0.16,0.08,0.2,0.32,0.54,1
delta_WA,0.04,0,0.18,-0.3,-0.09,0.04,0.16,0.39,1
delta_WI,-0.45,0,0.2,-0.85,-0.58,-0.44,-0.31,-0.08,1
delta_WV,0.01,0,0.28,-0.56,-0.17,0.01,0.19,0.57,1
